Vpanel:0.21	Apanel:0.00	Watt:0.00	Watt:0.00	Vbatt:0.00	Abatt:0.00	PWM:1000   	Count:0   	StA:0.00

Vpanel:13.46	Apanel:0.04	Watt:0.52	Watt:0.52	Vbatt:12.44	Abatt:0.01	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.70	Apanel:1.34	Watt:17.06	Watt:16.53	Vbatt:12.05	Abatt:1.35	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.69	Apanel:1.34	Watt:17.03	Watt:-0.03	Vbatt:12.04	Abatt:1.35	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.68	Apanel:1.34	Watt:17.04	Watt:0.01	Vbatt:12.03	Abatt:1.34	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.69	Apanel:1.36	Watt:17.21	Watt:0.17	Vbatt:12.03	Abatt:1.35	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.67	Apanel:1.34	Watt:16.96	Watt:-0.25	Vbatt:12.03	Abatt:1.36	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.69	Apanel:1.31	Watt:16.64	Watt:-0.32	Vbatt:12.04	Abatt:1.33	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.70	Apanel:1.31	Watt:16.63	Watt:-0.01	Vbatt:12.05	Abatt:1.31	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.70	Apanel:1.31	Watt:16.69	Watt:0.06	Vbatt:12.05	Abatt:1.33	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.70	Apanel:1.31	Watt:16.61	Watt:-0.08	Vbatt:12.06	Abatt:1.32	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.71	Apanel:1.31	Watt:16.66	Watt:0.05	Vbatt:12.04	Abatt:1.28	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.70	Apanel:1.30	Watt:16.49	Watt:-0.17	Vbatt:12.04	Abatt:1.30	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.72	Apanel:1.28	Watt:16.33	Watt:-0.16	Vbatt:12.05	Abatt:1.29	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.72	Apanel:1.29	Watt:16.36	Watt:0.03	Vbatt:12.06	Abatt:1.30	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.72	Apanel:1.27	Watt:16.15	Watt:-0.21	Vbatt:12.06	Abatt:1.28	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.71	Apanel:1.27	Watt:16.14	Watt:-0.01	Vbatt:12.08	Abatt:1.25	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.71	Apanel:1.28	Watt:16.27	Watt:0.13	Vbatt:12.05	Abatt:1.28	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.72	Apanel:1.26	Watt:15.99	Watt:-0.28	Vbatt:12.07	Abatt:1.29	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.73	Apanel:1.29	Watt:16.40	Watt:0.41	Vbatt:12.07	Abatt:1.27	PWM:1120   	Count:5   	StA:0.00

Vpanel:12.74	Apanel:1.24	Watt:15.83	Watt:-0.58	Vbatt:12.07	Abatt:1.24	PWM:1130   	Count:5   	StA:10.00

Vpanel:12.66	Apanel:1.38	Watt:17.50	Watt:1.67	Vbatt:12.03	Abatt:1.38	PWM:1140   	Count:5   	StA:10.00

Vpanel:12.59	Apanel:1.52	Watt:19.08	Watt:1.58	Vbatt:11.98	Abatt:1.50	PWM:1150   	Count:5   	StA:10.00

Vpanel:12.51	Apanel:1.63	Watt:20.35	Watt:1.28	Vbatt:11.94	Abatt:1.63	PWM:1160   	Count:5   	StA:10.00

Vpanel:12.40	Apanel:1.79	Watt:22.18	Watt:1.82	Vbatt:11.85	Abatt:1.80	PWM:1170   	Count:5   	StA:10.00

Vpanel:12.35	Apanel:1.91	Watt:23.55	Watt:1.38	Vbatt:11.81	Abatt:1.91	PWM:1180   	Count:5   	StA:10.00

Vpanel:11.25	Apanel:1.98	Watt:22.23	Watt:-1.32	Vbatt:11.09	Abatt:1.96	PWM:1175   	Count:5   	StA:-5.00

Vpanel:11.70	Apanel:1.98	Watt:23.18	Watt:0.95	Vbatt:11.56	Abatt:1.93	PWM:1170   	Count:5   	StA:-5.00

Vpanel:12.28	Apanel:1.91	Watt:23.45	Watt:0.27	Vbatt:11.82	Abatt:1.89	PWM:1170   	Count:5   	StA:0.00

Vpanel:12.38	Apanel:1.90	Watt:23.47	Watt:0.01	Vbatt:11.83	Abatt:1.92	PWM:1170   	Count:5   	StA:0.00

Vpanel:12.28	Apanel:1.89	Watt:23.26	Watt:-0.21	Vbatt:11.80	Abatt:1.91	PWM:1170   	Count:5   	StA:0.00

Vpanel:12.32	Apanel:1.89	Watt:23.29	Watt:0.03	Vbatt:11.83	Abatt:1.90	PWM:1170   	Count:5   	StA:0.00

Vpanel:12.43	Apanel:1.93	Watt:24.00	Watt:0.71	Vbatt:11.76	Abatt:1.93	PWM:1170   	Count:5   	StA:0.00

Vpanel:12.35	Apanel:1.89	Watt:23.31	Watt:-0.69	Vbatt:11.82	Abatt:1.85	PWM:1180   	Count:5   	StA:10.00

Vpanel:11.59	Apanel:1.98	Watt:22.92	Watt:-0.39	Vbatt:11.29	Abatt:1.95	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.44	Apanel:1.98	Watt:22.66	Watt:-0.26	Vbatt:11.37	Abatt:1.92	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.45	Apanel:1.98	Watt:22.62	Watt:-0.04	Vbatt:11.31	Abatt:1.94	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.43	Apanel:1.98	Watt:22.57	Watt:-0.05	Vbatt:11.25	Abatt:1.95	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.56	Apanel:1.98	Watt:22.88	Watt:0.31	Vbatt:11.37	Abatt:1.98	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.47	Apanel:1.98	Watt:22.72	Watt:-0.16	Vbatt:11.42	Abatt:1.94	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.53	Apanel:1.98	Watt:22.86	Watt:0.14	Vbatt:11.41	Abatt:1.95	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.69	Apanel:1.98	Watt:23.10	Watt:0.24	Vbatt:11.51	Abatt:1.96	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.69	Apanel:1.98	Watt:23.11	Watt:0.01	Vbatt:11.44	Abatt:1.95	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.65	Apanel:1.98	Watt:23.05	Watt:-0.06	Vbatt:11.53	Abatt:1.95	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.81	Apanel:1.98	Watt:23.37	Watt:0.32	Vbatt:11.59	Abatt:1.95	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.71	Apanel:1.98	Watt:23.17	Watt:-0.20	Vbatt:11.55	Abatt:1.98	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.73	Apanel:1.98	Watt:23.20	Watt:0.03	Vbatt:11.55	Abatt:1.93	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.74	Apanel:1.98	Watt:23.25	Watt:0.04	Vbatt:11.58	Abatt:1.94	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.20	Apanel:1.97	Watt:24.02	Watt:0.78	Vbatt:11.78	Abatt:1.96	PWM:1180   	Count:5   	StA:0.00

Vpanel:11.78	Apanel:1.98	Watt:23.27	Watt:-0.75	Vbatt:11.59	Abatt:1.89	PWM:1190   	Count:5   	StA:10.00

Vpanel:11.00	Apanel:1.98	Watt:21.77	Watt:-1.50	Vbatt:10.83	Abatt:1.98	PWM:1185   	Count:5   	StA:-5.00

Vpanel:11.48	Apanel:1.98	Watt:22.73	Watt:0.96	Vbatt:11.30	Abatt:1.92	PWM:1180   	Count:5   	StA:-5.00

Vpanel:12.35	Apanel:1.94	Watt:23.95	Watt:1.21	Vbatt:11.83	Abatt:1.96	PWM:1175   	Count:5   	StA:-5.00

Vpanel:12.34	Apanel:1.89	Watt:23.28	Watt:-0.66	Vbatt:11.83	Abatt:1.87	PWM:1185   	Count:5   	StA:10.00

Vpanel:11.45	Apanel:1.98	Watt:22.68	Watt:-0.60	Vbatt:11.31	Abatt:1.95	PWM:1180   	Count:5   	StA:-5.00

Vpanel:12.15	Apanel:1.91	Watt:23.19	Watt:0.51	Vbatt:11.79	Abatt:1.94	PWM:1175   	Count:5   	StA:-5.00

Vpanel:12.33	Apanel:1.90	Watt:23.49	Watt:0.30	Vbatt:11.81	Abatt:1.84	PWM:1175   	Count:5   	StA:0.00

Vpanel:12.38	Apanel:1.86	Watt:22.97	Watt:-0.51	Vbatt:11.83	Abatt:1.84	PWM:1185   	Count:5   	StA:10.00

Vpanel:11.50	Apanel:1.97	Watt:22.69	Watt:-0.28	Vbatt:11.29	Abatt:1.98	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.57	Apanel:1.98	Watt:22.95	Watt:0.26	Vbatt:11.48	Abatt:1.90	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.69	Apanel:1.98	Watt:23.16	Watt:0.21	Vbatt:11.58	Abatt:1.95	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.64	Apanel:1.98	Watt:23.07	Watt:-0.09	Vbatt:11.49	Abatt:1.97	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.60	Apanel:1.98	Watt:22.96	Watt:-0.11	Vbatt:11.43	Abatt:1.92	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.65	Apanel:1.98	Watt:23.01	Watt:0.06	Vbatt:11.48	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.66	Apanel:1.98	Watt:23.05	Watt:0.04	Vbatt:11.49	Abatt:1.89	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.66	Apanel:1.98	Watt:23.04	Watt:-0.02	Vbatt:11.52	Abatt:1.96	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.64	Apanel:1.98	Watt:23.04	Watt:0.00	Vbatt:11.49	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.65	Apanel:1.99	Watt:23.13	Watt:0.09	Vbatt:11.49	Abatt:1.96	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.69	Apanel:1.98	Watt:23.15	Watt:0.02	Vbatt:11.51	Abatt:1.96	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.74	Apanel:1.98	Watt:23.26	Watt:0.11	Vbatt:11.60	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.67	Apanel:1.98	Watt:23.09	Watt:-0.17	Vbatt:11.50	Abatt:1.95	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.81	Apanel:1.98	Watt:23.38	Watt:0.28	Vbatt:11.64	Abatt:1.93	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.75	Apanel:1.98	Watt:23.27	Watt:-0.10	Vbatt:11.53	Abatt:1.91	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.78	Apanel:1.98	Watt:23.36	Watt:0.09	Vbatt:11.60	Abatt:1.95	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.77	Apanel:1.99	Watt:23.36	Watt:0.00	Vbatt:11.61	Abatt:1.93	PWM:1185   	Count:5   	StA:0.00

Vpanel:12.21	Apanel:1.99	Watt:24.24	Watt:0.88	Vbatt:11.75	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:12.18	Apanel:1.97	Watt:24.05	Watt:-0.19	Vbatt:11.77	Abatt:1.94	PWM:1185   	Count:5   	StA:0.00

Vpanel:12.41	Apanel:1.94	Watt:24.05	Watt:-0.00	Vbatt:11.79	Abatt:1.97	PWM:1185   	Count:5   	StA:0.00

Vpanel:11.78	Apanel:1.98	Watt:23.32	Watt:-0.73	Vbatt:11.64	Abatt:1.91	PWM:1195   	Count:5   	StA:10.00

Vpanel:10.88	Apanel:1.98	Watt:21.56	Watt:-1.76	Vbatt:10.74	Abatt:1.92	PWM:1190   	Count:5   	StA:-5.00

Vpanel:11.41	Apanel:1.98	Watt:22.59	Watt:1.03	Vbatt:11.20	Abatt:1.98	PWM:1185   	Count:5   	StA:-5.00

Vpanel:12.29	Apanel:1.96	Watt:24.08	Watt:1.49	Vbatt:11.78	Abatt:1.95	PWM:1180   	Count:5   	StA:-5.00

Vpanel:12.37	Apanel:1.86	Watt:22.96	Watt:-1.12	Vbatt:11.83	Abatt:1.85	PWM:1190   	Count:5   	StA:10.00

Vpanel:11.38	Apanel:1.98	Watt:22.55	Watt:-0.41	Vbatt:11.22	Abatt:1.93	PWM:1185   	Count:5   	StA:-5.00

Vpanel:12.00	Apanel:1.94	Watt:23.25	Watt:0.70	Vbatt:11.74	Abatt:1.92	PWM:1180   	Count:5   	StA:-5.00

Vpanel:12.36	Apanel:1.86	Watt:23.05	Watt:-0.20	Vbatt:11.84	Abatt:1.85	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.38	Apanel:1.85	Watt:22.91	Watt:-0.14	Vbatt:11.82	Abatt:1.87	PWM:1180   	Count:5   	StA:0.00

Vpanel:12.37	Apanel:1.86	Watt:23.05	Watt:0.15	Vbatt:11.82	Abatt:1.84	PWM:1180   	Count:5   	StA:0.00

